,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
0,Lenovo,A6-9225,AMD,A6-9225 Processor,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,24990,32790,23,3.7,63,12
1,Lenovo,Ideapad,AMD,APU Dual,10th,4 GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,19590,21325,8,3.6,1894,256
2,Avita,PURA,AMD,APU Dual,10th,4 GB,DDR4,128 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,19990,27990,28,3.7,1153,159
3,Avita,PURA,AMD,APU Dual,10th,4 GB,DDR4,128 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,21490,27990,23,3.7,1153,159
4,Avita,PURA,AMD,APU Dual,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,24990,33490,25,3.7,1657,234
5,Avita,PURA,AMD,APU Dual,10th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,24990,33490,25,3.7,1657,234
6,HP,APU,AMD,APU Dual,10th,4 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,14,0,No,No,20900,22825,8,3.9,1185,141
7,Lenovo,APU,AMD,APU Dual,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,Missing,0,No,No,21896,21896,0,3.9,219,18
9,acer,Aspire,AMD,Athlon Dual,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,31990,36990,13,4.2,76,13
10,ASUS,ExpertBook,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,34649,41990,17,2.3,3,0
11,Lenovo,Missing,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,Missing,0,No,No,38999,42705,8,3.8,65,5
12,Lenovo,v15,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,39999,43999,9,3.1,8,1
16,ASUS,EeeBook,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,21990,25990,15,3.5,31,3
20,acer,Nitro,AMD,Ryzen 5,10th,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,4,Casual,Missing,0,No,No,59990,99999,40,4.5,1946,240
21,acer,Nitro,AMD,Ryzen 5,10th,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,6,Casual,Missing,0,No,No,93700,139000,32,4.5,259,47
22,acer,Nitro,AMD,Ryzen 5,10th,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,4,Casual,Missing,0,No,No,72990,99999,27,4.5,425,67
23,Avita,Cosmos,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,17490,23490,25,3.6,1120,196
28,Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,31999,38999,17,4.0,286,19
29,HP,Celeron,Intel,Celeron Dual,Missing,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,32490,39288,17,4.0,58,6
31,ASUS,VivoBook,Intel,Celeron Dual,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,No,No,29890,33990,12,4.0,7,0
32,ASUS,Celeron,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,23990,26990,11,3.8,15279,1947
33,HP,15q,Intel,Core i3,7th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,32955,32955,0,4.2,311,27
34,HP,250-G6,Intel,Core i5,7th,4 GB,DDR4,0 GB,1024 GB,Windows,32-bit,2,Casual,15.6,0,No,No,46200,46200,0,4.2,47,7
35,ASUS,Missing,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,34429,49990,31,4.1,37,6
36,Lenovo,IdeaPad,Intel,Core i3,10th,8 GB,DDR4,256 GB,0 GB,Windows,32-bit,0,ThinNlight,15.6,2,No,Yes,37990,57990,34,4.3,2080,235
37,ASUS,VivoBook,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,15.6,1,No,Yes,35990,49990,28,4.3,1479,181
38,ASUS,VivoBook,Intel,Core i3,10th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,33980,46990,27,4.4,67,3
39,HP,Missing,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,39990,50085,20,4.2,273,30
40,DELL,Vostro,Intel,Core i3,10th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,39490,43312,8,4.3,1267,171
41,RedmiBook,15,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,32-bit,0,ThinNlight,15.6,1,No,No,38990,51999,25,4.3,1063,152
42,HP,Pavilion,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,53990,63510,14,4.6,14,0
44,realme,Book,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,46990,54999,14,4.4,6352,1014
45,ASUS,Missing,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,37990,52990,28,4.3,284,39
46,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,Yes,37890,51990,27,4.6,44,5
47,Lenovo,IdeaPad,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,No,38990,60890,35,4.2,33,4
48,Lenovo,IdeaPad,Intel,Core i3,10th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,37990,57990,34,4.2,286,36
49,DELL,Vostro,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14.96,1,No,Yes,41990,54510,22,3.6,10,5
50,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,45990,58990,22,4.5,816,147
51,Lenovo,IdeaPad,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,39990,61590,35,4.3,543,65
52,DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,42490,59654,28,4.8,9,1
53,Infinix,INBook,Intel,Core i3,10th,8 GB,LPDDR4X,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,32990,49999,34,4.3,1221,265
54,DELL,Vostro,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,36990,40614,8,4.3,1178,137
55,Lenovo,Ideapad,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,53990,75490,28,4.4,299,41
56,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,36990,52990,30,4.4,20,1
57,Lenovo,IdeaPad,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,2,No,No,38940,48200,19,4.3,758,64
58,DELL,Inspiron,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15,1,No,Yes,39490,55490,28,4.4,634,64
59,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,45990,58990,22,4.5,816,147
60,Lenovo,Ideapad,Intel,Core i3,10th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,2,No,Yes,39999,59999,33,5.0,4,0
